kundur.out
KUNDUR 4 MACHINE 12 BUS SYSTEM
                     1              2              3              4              5              6              7              8              9              10             11             12             13             14             15             16             17             18             19             20             21      
        Time(s) SPD 1[1 22.000 SPD 2[2 22.000 SPD 3[3 22.000 SPD 4[4 22.000 POWR 1[1 22.00 POWR 2[2 22.00 POWR 3[3 22.00 POWR 4[4 22.00 VOLT 1 [1 22.0 VOLT 2 [2 22.0 VOLT 3 [3 22.0 VOLT 4 [4 22.0 VOLT 5 [5 230. VOLT 6 [6 230. VOLT 7 [7 230. VOLT 8 [8 230. VOLT 9 [9 230. VOLT 10 [10 23 VOLT 11 [11 23 VOLT 12 [12 23 VREF 1[1 22.00
                            ]1             ]1             ]1             ]1            0]1            0]1            0]1            0]1            00]            00]            00]            00]            00]            00]            00]            00]            00]          0.00]          0.00]          0.00]            0]1
          0.196              0   -9.21579E-10   -2.91025E-09   -1.94017E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
          0.216              0   -1.01328E-09   -3.19983E-09   -2.13322E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
          0.236              0   -1.10498E-09   -3.48941E-09   -2.32627E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
          0.256              0   -1.19668E-09   -3.77898E-09   -2.51932E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
          0.276              0   -1.28838E-09   -4.06856E-09   -2.71238E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
          0.296              0   -1.38008E-09   -4.35814E-09   -2.90543E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
          0.316              0   -1.47178E-09   -4.64771E-09   -3.09848E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
          0.336              0   -1.56348E-09   -4.93729E-09   -3.29153E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
          0.356              0   -1.65518E-09   -5.22687E-09   -3.48458E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
          0.376              0   -1.74688E-09   -5.51645E-09   -3.67764E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
          0.396              0   -1.83858E-09   -5.80602E-09   -3.87069E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
          0.416              0   -1.93028E-09    -6.0956E-09   -4.06374E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
       0.436001              0   -2.02198E-09   -6.38518E-09   -4.25679E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
       0.456001              0   -2.11368E-09   -6.67475E-09   -4.44984E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
       0.476001              0   -2.20538E-09   -6.96433E-09   -4.64289E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
       0.496001              0   -2.29708E-09   -7.25391E-09   -4.83594E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
          0.516              0   -2.38878E-09   -7.54349E-09   -5.02899E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
          0.536              0   -2.48048E-09   -7.83306E-09   -5.22204E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
          0.556              0   -2.57218E-09   -8.12263E-09   -5.41509E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
          0.576              0   -2.66388E-09    -8.4122E-09   -5.60814E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
       0.595999              0   -2.75558E-09   -8.70178E-09   -5.80119E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
       0.615999              0   -2.84728E-09   -8.99135E-09   -5.99424E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
       0.635999              0   -2.93898E-09   -9.28092E-09   -6.18729E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
       0.655999              0   -3.03068E-09    -9.5705E-09   -6.38034E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
       0.675998              0   -3.12238E-09   -9.86007E-09   -6.57339E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
       0.695998              0   -3.21408E-09   -1.01496E-08   -6.76644E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
       0.715998              0   -3.30578E-09   -1.04392E-08   -6.95949E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
       0.735998              0   -3.39748E-09   -1.07288E-08   -7.15254E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
       0.755997              0   -3.48918E-09   -1.10184E-08   -7.34559E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
       0.775997              0   -3.58088E-09   -1.13079E-08   -7.53864E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
       0.795997              0   -3.67258E-09   -1.15975E-08   -7.73169E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
       0.815997              0   -3.76428E-09   -1.18871E-08   -7.92475E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
       0.835996              0   -3.85598E-09   -1.21767E-08    -8.1178E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
       0.855996              0   -3.94768E-09   -1.24662E-08   -8.31086E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
       0.875996              0   -4.03938E-09   -1.27558E-08   -8.50391E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
       0.895996              0   -4.13108E-09   -1.30454E-08   -8.69697E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
       0.915995              0   -4.22278E-09   -1.33349E-08   -8.89002E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
       0.935995              0   -4.31448E-09   -1.36245E-08   -9.08308E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
       0.955995              0   -4.40618E-09   -1.39141E-08   -9.27613E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
       0.975995              0   -4.49788E-09   -1.42037E-08   -9.46918E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
       0.995994              0   -4.58958E-09   -1.44932E-08   -9.66224E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
       0.999994              0   -4.60792E-09   -1.45511E-08   -9.70085E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054         1.0397
       0.999994              0   -4.60792E-09   -1.45511E-08   -9.70085E-09        6.99978        6.99978        7.18729        6.99997        1.02999        1.00999           1.03           1.01        1.00657       0.978512       0.961767       0.951054       0.975123       0.987042        1.01141       0.951054           1.05
        1.01999   -1.01186E-07    3.12695E-08   -1.23407E-08    -4.3678E-09        7.00219        6.99894        7.18724        6.99984        1.03012        1.01003           1.03           1.01        1.00666       0.978562       0.961812       0.951077       0.975134       0.987051        1.01142       0.951077           1.05
        1.03999   -1.36182E-06    4.63807E-07    1.55842E-08    5.99714E-08        7.01392          6.995          7.187         6.9993        1.03073         1.0102        1.03002        1.01004        1.00712       0.978809       0.962035        0.95119       0.975186       0.987094        1.01145        0.95119           1.05
        1.05999   -5.45602E-06    1.82911E-06     1.0183E-07    2.59389E-07        7.03501        6.98815         7.1866        6.99836        1.03184        1.01053        1.03007        1.01009        1.00795       0.979265       0.962446       0.951399       0.975284       0.987175        1.01151       0.951399           1.05
        1.07999   -1.37469E-05    4.54024E-06    2.70938E-07     6.5276E-07        7.06251        6.97941        7.18608        6.99717        1.03332        1.01095        1.03012        1.01017        1.00905       0.979868       0.962991       0.951679       0.975413       0.987281        1.01158       0.951679           1.05
        1.09999   -2.70118E-05    8.82274E-06    5.37673E-07    1.27115E-06        7.09277        6.96988        7.18551        6.99587        1.03499        1.01141        1.03018        1.01025        1.01029       0.980539       0.963597        0.95199       0.975554       0.987395        1.01166        0.95199           1.05
        1.11999   -4.54104E-05    1.47282E-05    9.10812E-07    2.12278E-06        7.12232        6.96047         7.1849        6.99458        1.03668        1.01183        1.03022        1.01032        1.01155       0.981197       0.964192       0.952294       0.975685       0.987498        1.01173       0.952294           1.05
        1.13999   -6.85513E-05    2.21611E-05    1.39601E-06    3.19829E-06        7.14825        6.95199        7.18426        6.99337        1.03826        1.01217        1.03025        1.01036        1.01271       0.981775       0.964716        0.95256       0.975788       0.987576        1.01178        0.95256           1.05
        1.15999   -9.56085E-05    3.09033E-05    1.99498E-06    4.47364E-06         7.1684        6.94507        7.18363        6.99234        1.03961        1.01237        1.03025        1.01038        1.01369       0.982227       0.965126       0.952765       0.975853       0.987618         1.0118       0.952765           1.05
        1.17999   -0.000125456    4.06364E-05    2.70442E-06    5.91069E-06        7.18143        6.94026        7.18303        6.99156        1.04069        1.01242        1.03023        1.01035        1.01445       0.982527         0.9654       0.952899       0.975874       0.987619        1.01178       0.952899           1.05
        1.19999   -0.000156804    5.09572E-05    3.51217E-06    7.45726E-06        7.18674          6.938        7.18253         6.9911        1.04146        1.01233        1.03018         1.0103        1.01497       0.982672       0.965535       0.952962       0.975852       0.987582        1.01174       0.952962           1.05
        1.21999    -0.00018832    6.13953E-05    4.39405E-06    9.04749E-06        7.18439        6.93863        7.18219        6.99104        1.04194        1.01211        1.03011        1.01022        1.01528       0.982676       0.965546       0.952964       0.975796       0.987514        1.01167       0.952964           1.05
        1.23999   -0.000218736    7.14332E-05    5.31249E-06    1.06017E-05          7.175        6.94239        7.18211        6.99146        1.04216         1.0118        1.03002        1.01012        1.01538        0.98257       0.965459       0.952923       0.975717       0.987426        1.01158       0.952923           1.05
        1.25999   -0.000246922    8.05222E-05     6.2143E-06    1.20268E-05        7.15956        6.94941        7.18236        6.99244        1.04216        1.01142        1.02994        1.01002        1.01534       0.982389       0.965308       0.952859        0.97563       0.987331        1.01149       0.952859           1.05
        1.27999   -0.000271945    8.81028E-05    7.03197E-06    1.32184E-05        7.13929        6.95967        7.18302        6.99401        1.04201        1.01103        1.02987        1.00993         1.0152       0.982172       0.965128       0.952794       0.975548       0.987241        1.01141       0.952794           1.05
        1.29999   -0.000293091    9.36348E-05      7.687E-06     1.4068E-05        7.11549          6.973        7.18415        6.99619        1.04177        1.01066        1.02981        1.00986        1.01501       0.981957       0.964955       0.952748       0.975483       0.987169        1.01135       0.952748           1.05
        1.31999    -0.00030987    9.66206E-05    8.09482E-06     1.4468E-05        7.08947        6.98908        7.18575        6.99896        1.04147        1.01035        1.02978        1.00981         1.0148       0.981774       0.964814       0.952736       0.975446       0.987121         1.0113       0.952736           1.05
        1.33999   -0.000322008      9.663E-05    8.17031E-06    1.43172E-05        7.06241        7.00746        7.18782        7.00226        1.04118         1.0101        1.02977         1.0098        1.01462       0.981646       0.964728        0.95277       0.975441       0.987104        1.01129        0.95277           1.05
        1.35999   -0.000329426    9.33248E-05    7.83291E-06    1.35276E-05        7.03535        7.02754        7.19031        7.00601        1.04091        1.00995        1.02979        1.00981        1.01448       0.981585       0.964708       0.952853        0.97547       0.987118         1.0113       0.952853           1.05
        1.37999   -0.000332207    8.64769E-05    7.01217E-06    1.20302E-05        7.00916        7.04864        7.19316        7.01009         1.0407        1.00988        1.02982        1.00985         1.0144       0.981597       0.964755       0.952984        0.97553       0.987159        1.01133       0.952984           1.05
        1.39999   -0.000330569    7.59843E-05    5.65176E-06    9.77873E-06         6.9845           7.07        7.19629        7.01438        1.04054        1.00989        1.02988         1.0099        1.01438       0.981675       0.964866       0.953157       0.975614       0.987222        1.01139       0.953157           1.05
        1.41999   -0.000324826     6.1876E-05    3.71261E-06    6.75099E-06         6.9619        7.09084         7.1996        7.01872        1.04044        1.00997        1.02994        1.00997        1.01442       0.981809       0.965028       0.953363       0.975716         0.9873        1.01145       0.953363           1.05
        1.43999   -0.000315373    4.43146E-05    1.17257E-06     2.9488E-06         6.9417        7.11041        7.20299          7.023        1.04038        1.01011           1.03        1.01005        1.01449       0.981983       0.965228        0.95359       0.975826       0.987384        1.01152        0.95359           1.05
        1.45999   -0.000302649    2.35897E-05   -1.97421E-06   -1.60279E-06        6.92413        7.12799        7.20638        7.02709        1.04036        1.01027        1.03006        1.01012        1.01459       0.982179       0.965447       0.953825       0.975934       0.987464        1.01158       0.953825           1.05
        1.47999    -0.00028713    1.05493E-07   -5.71981E-06    -6.8595E-06        6.90935        7.14295         7.2097        7.03091        1.04035        1.01044        1.03011        1.01018        1.01469       0.982379        0.96567       0.954057       0.976034       0.987535        1.01163       0.954057           1.05
        1.49999   -0.000269306   -2.56373E-05   -1.00461E-05    -1.2763E-05        6.89742        7.15481        7.21292        7.03439        1.04035        1.01061        1.03014        1.01022        1.01479       0.982568       0.965881       0.954275       0.976118        0.98759        1.01166       0.954275           1.05
        1.51999   -0.000249678   -5.30633E-05   -1.49286E-05    -1.9246E-05        6.88837        7.16318        7.21599        7.03749        1.04035        1.01076        1.03015        1.01025        1.01487       0.982732       0.966068       0.954473       0.976183       0.987626        1.01168       0.954473           1.05
        1.53999   -0.000228748   -8.15473E-05   -2.03411E-05   -2.62385E-05         6.8822        7.16785        7.21894        7.04023        1.04033        1.01087        1.03014        1.01025        1.01492       0.982863       0.966223       0.954644       0.976227       0.987642        1.01168       0.954644           1.05
        1.55999   -0.000207011   -0.000110439   -2.62594E-05   -3.36727E-05        6.87888        7.16872        7.22178        7.04261        1.04029        1.01095        1.03012        1.01024        1.01494       0.982955       0.966342       0.954789        0.97625       0.987639        1.01166       0.954789           1.05
        1.57999   -0.000184956   -0.000139087   -3.26632E-05   -4.14865E-05        6.87833        7.16586        7.22452        7.04468        1.04022        1.01098        1.03009        1.01021        1.01493       0.983008       0.966422       0.954906       0.976256       0.987619        1.01162       0.954906           1.05
        1.59999   -0.000163059   -0.000166862   -3.95381E-05   -4.96263E-05        6.88049        7.15945        7.22722         7.0465        1.04014        1.01098        1.03005        1.01017        1.01488       0.983022       0.966466       0.954998       0.976247       0.987588        1.01158       0.954998           1.05
        1.61999   -0.000141776   -0.000193174   -4.68761E-05   -5.80484E-05        6.88524        7.14977         7.2299        7.04811        1.04005        1.01095           1.03        1.01013         1.0148       0.983004       0.966479       0.955069       0.976228       0.987548        1.01153       0.955069           1.05
        1.63999   -0.000121543    -0.00021749   -5.46741E-05   -6.67193E-05        6.89241        7.13717        7.23259        7.04957        1.03994        1.01089        1.02996        1.01008        1.01471       0.982959       0.966466       0.955123       0.976205       0.987506        1.01148       0.955123           1.05
        1.65999   -0.000102763   -0.000239347   -6.29328E-05   -7.56135E-05        6.90185        7.12208        7.23529        7.05092        1.03984        1.01082        1.02992        1.01004         1.0146       0.982893       0.966433       0.955165       0.976181       0.987466        1.01144       0.955165           1.05
        1.67999   -8.58055E-05   -0.000258358   -7.16529E-05   -8.47123E-05        6.91331        7.10496        7.23802        7.05219        1.03974        1.01073        1.02989           1.01        1.01449       0.982815       0.966387       0.955198        0.97616       0.987431         1.0114       0.955198           1.05
        1.69999   -7.09932E-05   -0.000274218   -8.08328E-05   -9.40007E-05        6.92651         7.0863        7.24074        7.05339        1.03966        1.01063        1.02987        1.00998        1.01438        0.98273       0.966333       0.955225       0.976144       0.987403        1.01137       0.955225           1.05
        1.71999   -5.85993E-05   -0.000286708   -9.04659E-05   -0.000103464        6.94116        7.06657        7.24341        7.05452         1.0396        1.01054        1.02987        1.00996        1.01428       0.982644       0.966277       0.955249       0.976134       0.987384        1.01136       0.955249           1.05
        1.73998   -4.88394E-05   -0.000295692   -0.000100538   -0.000113085         6.9569        7.04627        7.24599        7.05556        1.03955        1.01045        1.02987        1.00995        1.01419        0.98256        0.96622        0.95527       0.976132       0.987374        1.01135        0.95527           1.05
        1.75998   -4.18677E-05   -0.000301114   -0.000111023   -0.000122844        6.97336        7.02585        7.24841        7.05647        1.03953        1.01037        1.02988        1.00995        1.01411        0.98248       0.966165       0.955287       0.976136       0.987372        1.01135       0.955287           1.05
        1.77998   -3.77714E-05      -0.000303   -0.000121886   -0.000132715        6.99016        7.00575        7.25062        7.05725        1.03953        1.01029         1.0299        1.00996        1.01405       0.982408       0.966113       0.955301       0.976144       0.987377        1.01136       0.955301           1.05
        1.79998   -3.65693E-05   -0.000301446   -0.000133078   -0.000142664         7.0069        6.98639        7.25253        7.05782        1.03955        1.01022        1.02992        1.00998          1.014       0.982341       0.966063       0.955309       0.976155       0.987387        1.01138       0.955309           1.05
        1.81998   -3.82143E-05   -0.000296616   -0.000144537   -0.000152654         7.0232        6.96812        7.25409        7.05817        1.03958        1.01016        1.02995        1.00999        1.01397        0.98228       0.966016        0.95531       0.976166       0.987399         1.0114        0.95531           1.05
        1.83998   -4.25936E-05   -0.000288737   -0.000156195   -0.000162638         7.0387        6.95131        7.25525        7.05827        1.03964        1.01011        1.02998        1.01001        1.01395       0.982224       0.965969       0.955302       0.976176       0.987411        1.01142       0.955302           1.05
        1.85998   -4.95329E-05   -0.000278091    -0.00016797   -0.000172566        7.05304        6.93623        7.25595        7.05808         1.0397        1.01006           1.03        1.01002        1.01394       0.982172       0.965921       0.955282       0.976183       0.987422        1.01144       0.955282           1.05
        1.87998   -5.88037E-05   -0.000265005   -0.000179779   -0.000182385        7.06593        6.92316        7.25618         7.0576        1.03977        1.01001        1.03002        1.01003        1.01394       0.982122       0.965872       0.955251       0.976184        0.98743        1.01145       0.955251           1.05
        1.89998   -7.01299E-05   -0.000249849    -0.00019153   -0.000192041        7.07713        6.91231        7.25592        7.05682        1.03984        1.00997        1.03004        1.01004        1.01394       0.982076       0.965822       0.955207        0.97618       0.987434        1.01147       0.955207           1.05
        1.91998   -8.31962E-05   -0.000233026   -0.000203134   -0.000201479        7.08642        6.90384        7.25517        7.05576        1.03992        1.00993        1.03005        1.01005        1.01395        0.98203       0.965768        0.95515        0.97617       0.987434        1.01148        0.95515           1.05
        1.93998   -9.76585E-05   -0.000214961   -0.000214502    -0.00021065        7.09366        6.89787        7.25393        7.05442        1.03999        1.00989        1.03006        1.01004        1.01397       0.981986       0.965713       0.955081       0.976153        0.98743        1.01148       0.955081           1.05
        1.95998   -0.000113151   -0.000196095   -0.000225547   -0.000219505        7.09876        6.89448        7.25224        7.05284        1.04006        1.00986        1.03006        1.01004        1.01398       0.981944       0.965655          0.955       0.976132       0.987422        1.01148          0.955           1.05
        1.97998   -0.000129298   -0.000176879    -0.00023619   -0.000228001        7.10168        6.89368        7.25012        7.05103        1.04013        1.00983        1.03006        1.01003          1.014       0.981904       0.965595        0.95491       0.976107       0.987411        1.01148        0.95491           1.05
        1.99998   -0.000145722   -0.000157756   -0.000246356   -0.000236101        7.10244        6.89542        7.24762        7.04904        1.04019         1.0098        1.03005        1.01002        1.01403       0.981867       0.965535        0.95481       0.976078       0.987398        1.01148        0.95481           1.05
        2.01998   -0.000162056   -0.000139161   -0.000255979   -0.000243774        7.10111        6.89963        7.24477         7.0469        1.04025        1.00977        1.03005        1.01001        1.01405       0.981832       0.965474       0.954702       0.976047       0.987385        1.01147       0.954702           1.05
        2.03998   -0.000177946   -0.000121509      -0.000265   -0.000250995        7.09778        6.90619        7.24162        7.04462         1.0403        1.00976        1.03004           1.01        1.01407         0.9818       0.965414       0.954589       0.976014       0.987372        1.01147       0.954589           1.05
        2.05998   -0.000193062   -0.000105187   -0.000273369   -0.000257742        7.09263        6.91488         7.2382        7.04224        1.04034        1.00974        1.03004        1.00999         1.0141       0.981772       0.965355        0.95447       0.975981       0.987359        1.01147        0.95447           1.05
        2.07999   -0.000207105   -9.05461E-05   -0.000281042   -0.000264001        7.08583        6.92551        7.23458        7.03979        1.04038        1.00973        1.03003        1.00998        1.01412       0.981747       0.965297       0.954348       0.975948       0.987347        1.01147       0.954348           1.05
        2.09999    -0.00021981   -7.78941E-05   -0.000287987   -0.000269759        7.07761         6.9378        7.23077        7.03728        1.04041        1.00973        1.03003        1.00997        1.01415       0.981724        0.96524       0.954222       0.975915       0.987336        1.01147       0.954222           1.05
        2.11999   -0.000230953   -6.74919E-05   -0.000294174   -0.000275008        7.06819        6.95148        7.22683        7.03473        1.04043        1.00973        1.03002        1.00997        1.01417       0.981704       0.965184       0.954095       0.975883       0.987327        1.01147       0.954095           1.05
        2.13999   -0.000240353   -5.95471E-05   -0.000299584   -0.000279742        7.05785        6.96622        7.22279        7.03214        1.04044        1.00973        1.03002        1.00996        1.01419       0.981686       0.965128       0.953965       0.975852       0.987319        1.01147       0.953965           1.05
