ne_2.out
NEW ENGLAND TEST SYSTEM, 39 BUSES, 9 GENERATORS
CREATED BY PABLO LEDESMA PABLOLE@ING.UC3M.ES
                     1              2              3              4              5              6              7              8              9              10             11             12             13             14             15             16             17             18             19             20             21             22             23             24             25             26             27             28             29             30             31             32             33             34             35             36             37             38             39             40             41             42             43             44             45             46             47             48             49             50             51             52             53             54             55             56             57             58             59             60             61             62             63             64             65             66             67             68             69             70             71             72             73             74             75             76             77             78             79             80             81             82             83             84      
        Time(s) SPD 30[30 22.0 SPD 31[31 22.0 SPD 32[32 22.0 SPD 33[33 22.0 SPD 34[34 22.0 SPD 35[35 22.0 SPD 36[36 22.0 SPD 37[37 22.0 SPD 38[38 22.0 SPD 39[39 22.0 EFD 30[30 22.0 EFD 31[31 22.0 EFD 32[32 22.0 EFD 33[33 22.0 EFD 34[34 22.0 EFD 35[35 22.0 EFD 36[36 22.0 EFD 37[37 22.0 EFD 38[38 22.0 EFD 39[39 22.0 VOEL 30[30 22. VOEL 31[31 22. VOEL 32[32 22. VOEL 33[33 22. VOEL 34[34 22. VOEL 35[35 22. VOEL 36[36 22. VOEL 37[37 22. VOEL 38[38 22. VOEL 39[39 22. POWR 30[30 22. POWR 31[31 22. POWR 32[32 22. POWR 33[33 22. POWR 34[34 22. POWR 35[35 22. POWR 36[36 22. POWR 37[37 22. POWR 38[38 22. POWR 39[39 22. VOLT 1 [1 345. VOLT 2 [2 345. VOLT 3 [3 345. VOLT 4 [4 345. VOLT 5 [5 345. VOLT 6 [6 345. VOLT 7 [7 345. VOLT 8 [8 345. VOLT 9 [9 345. VOLT 10 [10 34 VOLT 11 [11 34 VOLT 12 [12 34 VOLT 13 [13 34 VOLT 14 [14 34 VOLT 15 [15 34 VOLT 16 [16 34 VOLT 17 [17 34 VOLT 18 [18 34 VOLT 19 [19 34 VOLT 20 [20 34 VOLT 21 [21 34 VOLT 22 [22 34 VOLT 23 [23 34 VOLT 24 [24 34 VOLT 25 [25 34 VOLT 26 [26 34 VOLT 27 [27 34 VOLT 28 [28 34 VOLT 29 [29 34 VOLT 30 [30 22 VOLT 31 [31 22 VOLT 32 [32 22 VOLT 33 [33 22 VOLT 34 [34 22 VOLT 35 [35 22 VOLT 36 [36 22 VOLT 37 [37 22 VOLT 38 [38 22 VOLT 39 [39 22 PMECH FOR ALL  PELEC FOR ALL  PACCL FOR ALL  PLOAD FOR ALL  PE-PL FOR ALL 
                          00]1           00]1           00]1           00]1           00]1           00]1           00]1           00]1           00]1           00]1           00]1           00]1           00]1           00]1           00]1           00]1           00]1           00]1           00]1           00]1          000]1          000]1          000]1          000]1          000]1          000]1          000]1          000]1          000]1          000]1          000]1          000]1          000]1          000]1          000]1          000]1          000]1          000]1          000]1          000]1            00]            00]            00]            00]            00]            00]            00]            00]            00]          5.00]          5.00]          5.00]          5.00]          5.00]          5.00]          5.00]          5.00]          5.00]          5.00]          5.00]          5.00]          5.00]          5.00]          5.00]          5.00]          5.00]          5.00]          5.00]          5.00]          .000]          .000]          .000]          .000]          .000]          .000]          .000]          .000]          .000]          .000]          BUSES          BUSES          BUSES          BUSES          BUSES
           0.49   -1.30873E-07   -1.21127E-07   -9.67327E-08    -6.8462E-08   -4.23823E-08   -5.90908E-08   -6.34428E-08   -1.07436E-07   -6.43557E-08   -5.50458E-07        1.17902        2.76792        1.94934        2.13566        4.01048         2.2595        2.07929        1.82143        2.10302        1.04366              0              0              0              0              0              0              0              0              0              0        2.50009        5.72935        6.50005        6.32003        5.08002        6.50004        5.60003        5.40003        8.30003        10.0097        1.04195        1.04297        1.02721        1.03025        1.04924        1.05069        1.03816        1.03595        1.04085        1.03805        1.04095        1.02451        1.03293        1.02388       0.990264       0.990507        1.00333        1.01112        1.00362       0.937917       0.993632         1.0171        1.01535       0.997236         1.0378         1.0281        1.01081        1.03232        1.02978        1.04183        1.01598       0.978069       0.963099       0.949589        1.02003        1.05642        1.00839        1.00466        1.02377        5833.59        5850.79       -17.2012         5805.6        45.1924
           0.54   -1.91134E-07   -1.75863E-07   -1.38897E-07   -9.57374E-08   -6.45048E-08   -9.41813E-08   -9.35838E-08   -1.56094E-07   -9.32078E-08   -6.96057E-07        1.17902        2.76792        1.94934        2.13566        4.01049         2.2595        2.07929        1.82143        2.10302        1.04366              0              0              0              0              0              0              0              0              0              0        2.50012        5.72937        6.50006        6.32004        5.08003        6.50006        5.60004        5.40005        8.30005        10.0095        1.04195        1.04297        1.02721        1.03025        1.04924        1.05069        1.03816        1.03595        1.04085        1.03805        1.04095        1.02451        1.03293        1.02388       0.990264       0.990507        1.00333        1.01112        1.00362       0.937917       0.993632         1.0171        1.01535       0.997236         1.0378         1.0281        1.01081        1.03232        1.02978        1.04183        1.01598       0.978069       0.963099       0.949589        1.02003        1.05642        1.00839        1.00466        1.02377        5833.59        5850.79       -17.2012         5805.6        45.1924
           0.59   -2.66944E-07   -2.43976E-07   -1.93902E-07   -1.37158E-07    -9.2903E-08   -1.41176E-07   -1.35945E-07   -2.21248E-07   -1.33203E-07   -8.58137E-07        1.17903        2.76792        1.94935        2.13566        4.01049         2.2595        2.07929        1.82143        2.10303        1.04366              0              0              0              0              0              0              0              0              0              0        2.50014        5.72939        6.50009        6.32006        5.08004        6.50007        5.60005        5.40007        8.30006        10.0093        1.04195        1.04297        1.02721        1.03025        1.04924        1.05069        1.03816        1.03595        1.04085        1.03805        1.04095        1.02451        1.03293        1.02388       0.990264       0.990507        1.00333        1.01112        1.00362       0.937917       0.993632         1.0171        1.01535       0.997236         1.0378         1.0281        1.01081        1.03232        1.02978        1.04183        1.01598       0.978069       0.963099       0.949589        1.02003        1.05642        1.00839        1.00466        1.02377        5833.59        5850.79       -17.2012         5805.6        45.1924
           0.64   -3.59695E-07   -3.28711E-07   -2.65328E-07    -1.9335E-07   -1.33795E-07   -1.99474E-07   -1.92614E-07   -3.03021E-07   -1.84774E-07   -1.03568E-06        1.17903        2.76793        1.94935        2.13566        4.01049         2.2595         2.0793        1.82143        2.10303        1.04366              0              0              0              0              0              0              0              0              0              0        2.50017        5.72942        6.50012        6.32008        5.08005        6.50009        5.60007        5.40009        8.30008        10.0091        1.04195        1.04297        1.02721        1.03025        1.04924        1.05069        1.03816        1.03595        1.04085        1.03805        1.04095        1.02451        1.03293        1.02388       0.990264       0.990507        1.00333        1.01112        1.00362       0.937917       0.993632         1.0171        1.01535       0.997236         1.0378         1.0281        1.01081        1.03232        1.02978        1.04183        1.01598       0.978069       0.963099       0.949589        1.02003        1.05642        1.00839        1.00466        1.02377        5833.59        5850.79       -17.2012         5805.6        45.1924
           0.69   -4.69954E-07   -4.31593E-07   -3.56192E-07   -2.67856E-07   -1.86293E-07   -2.69356E-07   -2.65794E-07    -4.0506E-07   -2.51938E-07   -1.22745E-06        1.17903        2.76793        1.94935        2.13566         4.0105         2.2595         2.0793        1.82143        2.10303        1.04366              0              0              0              0              0              0              0              0              0              0        2.50021        5.72944        6.50015         6.3201        5.08007        6.50011        5.60009        5.40011        8.30011        10.0089        1.04195        1.04297        1.02721        1.03025        1.04924        1.05069        1.03816        1.03595        1.04085        1.03805        1.04095        1.02451        1.03293        1.02388       0.990264       0.990507        1.00333        1.01112        1.00362       0.937917       0.993632         1.0171        1.01535       0.997236         1.0378         1.0281        1.01081        1.03232        1.02978        1.04183        1.01598       0.978069       0.963099       0.949589        1.02003        1.05642        1.00839        1.00466        1.02377        5833.59        5850.79       -17.2012         5805.6        45.1924
       0.739999   -5.98725E-07   -5.52966E-07   -4.66473E-07   -3.61093E-07   -2.53348E-07   -3.54631E-07   -3.56555E-07   -5.28807E-07   -3.36874E-07   -1.43223E-06        1.17903        2.76793        1.94935        2.13566         4.0105         2.2595        2.07931        1.82143        2.10304        1.04366              0              0              0              0              0              0              0              0              0              0        2.50024        5.72947        6.50018        6.32013        5.08008        6.50014        5.60012        5.40014        8.30014        10.0086        1.04195        1.04297        1.02721        1.03025        1.04924        1.05069        1.03816        1.03595        1.04085        1.03805        1.04095        1.02451        1.03293        1.02388       0.990264       0.990507        1.00333        1.01112        1.00362       0.937917       0.993632         1.0171        1.01535       0.997236         1.0378         1.0281        1.01081        1.03232        1.02978        1.04183        1.01598       0.978069       0.963099       0.949589        1.02003        1.05642        1.00839        1.00466        1.02377        5833.59        5850.79       -17.2012         5805.6        45.1924
       0.789999   -7.45892E-07   -6.94847E-07    -5.9665E-07   -4.74935E-07   -3.38486E-07   -4.58211E-07   -4.66762E-07   -6.72576E-07    -4.4101E-07   -1.64866E-06        1.17903        2.76793        1.94935        2.13566        4.01051        2.25951        2.07932        1.82143        2.10305        1.04366              0              0              0              0              0              0              0              0              0              0        2.50028        5.72949        6.50021        6.32015        5.08011        6.50017        5.60014        5.40016        8.30017        10.0083        1.04195        1.04297        1.02721        1.03025        1.04924        1.05069        1.03816        1.03595        1.04085        1.03805        1.04095        1.02451        1.03293        1.02388       0.990264       0.990507        1.00333        1.01112        1.00362       0.937917       0.993632         1.0171        1.01535       0.997236         1.0378         1.0281        1.01081        1.03232        1.02978        1.04183        1.01598       0.978069       0.963099       0.949589        1.02003        1.05642        1.00839        1.00466        1.02377        5833.59        5850.79       -17.2012         5805.6        45.1924
       0.839999   -9.11729E-07   -8.57087E-07   -7.46036E-07   -6.08577E-07   -4.44284E-07   -5.83136E-07   -6.00788E-07   -8.37592E-07   -5.68188E-07    -1.8756E-06        1.17903        2.76793        1.94936        2.13567        4.01051        2.25951        2.07933        1.82143        2.10305        1.04366              0              0              0              0              0              0              0              0              0              0        2.50031        5.72953        6.50024        6.32018        5.08013         6.5002        5.60017        5.40018         8.3002         10.008        1.04195        1.04297        1.02721        1.03025        1.04924        1.05069        1.03816        1.03595        1.04085        1.03805        1.04095        1.02451        1.03293        1.02388       0.990264       0.990507        1.00333        1.01112        1.00362       0.937917       0.993632         1.0171        1.01535       0.997236         1.0378         1.0281        1.01081        1.03232        1.02978        1.04183        1.01598       0.978069       0.963099       0.949589        1.02003        1.05642        1.00839        1.00466        1.02377        5833.59        5850.79       -17.2012         5805.6        45.1924
       0.889999   -1.09673E-06   -1.04038E-06   -9.15568E-07    -7.6022E-07   -5.73322E-07   -7.30799E-07   -7.58322E-07    -1.0176E-06   -7.20547E-07   -2.11196E-06        1.17904        2.76794        1.94936        2.13567        4.01052        2.25951        2.07934        1.82143        2.10306        1.04366              0              0              0              0              0              0              0              0              0              0        2.50035        5.72955        6.50028         6.3202        5.08016        6.50024         5.6002         5.4002        8.30024        10.0076        1.04195        1.04297        1.02721        1.03025        1.04924        1.05069        1.03816        1.03595        1.04085        1.03805        1.04095        1.02451        1.03293        1.02388       0.990264       0.990507        1.00333        1.01112        1.00362       0.937917       0.993632         1.0171        1.01535       0.997236         1.0378         1.0281        1.01081        1.03232        1.02978        1.04183        1.01598       0.978069       0.963099       0.949589        1.02003        1.05642        1.00839        1.00466        1.02377        5833.59        5850.79       -17.2012         5805.6        45.1924
       0.939999   -1.29993E-06   -1.24285E-06   -1.10614E-06   -9.31036E-07   -7.27091E-07   -9.05053E-07   -9.38632E-07   -1.21083E-06   -8.98497E-07   -2.35644E-06        1.17904        2.76794        1.94936        2.13567        4.01053        2.25951        2.07935        1.82144        2.10307        1.04366              0              0              0              0              0              0              0              0              0              0        2.50038        5.72958        6.50032        6.32023        5.08019        6.50028        5.60023        5.40022        8.30029        10.0072        1.04195        1.04297        1.02721        1.03025        1.04924        1.05069        1.03816        1.03595        1.04085        1.03805        1.04095        1.02451        1.03293        1.02388       0.990264       0.990507        1.00333        1.01112        1.00362       0.937917       0.993632         1.0171        1.01535       0.997236         1.0378         1.0281        1.01081        1.03232        1.02978        1.04183        1.01598       0.978069       0.963099       0.949589        1.02003        1.05642        1.00839        1.00466        1.02377        5833.59        5850.79       -17.2012         5805.6        45.1924
       0.989999   -1.52062E-06   -1.46287E-06    -1.3174E-06   -1.12405E-06   -9.04357E-07   -1.10718E-06   -1.14347E-06    -1.4196E-06   -1.10318E-06   -2.60828E-06        1.17904        2.76794        1.94937        2.13568        4.01054        2.25951        2.07937        1.82144        2.10309        1.04366              0              0              0              0              0              0              0              0              0              0        2.50042        5.72961        6.50035        6.32026        5.08022        6.50033        5.60026        5.40024        8.30033        10.0069        1.04195        1.04297        1.02721        1.03025        1.04924        1.05069        1.03816        1.03595        1.04085        1.03805        1.04095        1.02451        1.03293        1.02388       0.990264       0.990507        1.00333        1.01112        1.00362       0.937917       0.993632         1.0171        1.01535       0.997236         1.0378         1.0281        1.01081        1.03232        1.02978        1.04183        1.01598       0.978069       0.963099       0.949589        1.02003        1.05642        1.00839        1.00466        1.02377        5833.59        5850.79       -17.2012         5805.6        45.1924
       0.999999   -1.56672E-06   -1.50883E-06   -1.36223E-06   -1.16529E-06   -9.42785E-07   -1.15111E-06   -1.18721E-06   -1.46298E-06   -1.14752E-06   -2.65945E-06        1.17904        2.76794        1.94937        2.13568        4.01054        2.25952        2.07937        1.82144        2.10309        1.04366              0              0              0              0              0              0              0              0              0              0        2.50043        5.72962        6.50036        6.32027        5.08022        6.50034        5.60026        5.40025        8.30034        10.0068        1.04195        1.04297        1.02721        1.03025        1.04924        1.05069        1.03816        1.03595        1.04085        1.03805        1.04095        1.02451        1.03293        1.02388       0.990264       0.990507        1.00333        1.01112        1.00362       0.937917       0.993632         1.0171        1.01535       0.997236         1.0378         1.0281        1.01081        1.03232        1.02978        1.04183        1.01598       0.978069       0.963099       0.949589        1.02003        1.05642        1.00839        1.00466        1.02377        5833.59        5850.79       -17.2012         5805.6        45.1924
       0.999999   -1.56672E-06   -1.50883E-06   -1.36223E-06   -1.16529E-06   -9.42785E-07   -1.15111E-06   -1.18721E-06   -1.46298E-06   -1.14752E-06   -2.65945E-06        1.17904        2.76794        1.94937        2.13568        4.01054        2.25952        2.07937        1.82144        2.10309        1.04366              0              0              0              0              0              0              0              0              0              0        2.50042        5.72961        6.50035        6.32026        5.08022        6.50033        5.60026        5.40025        8.30033        10.0068        1.04195        1.04297        1.02721        1.03025        1.04924        1.05069        1.03816        1.03595        1.04085        1.03805        1.04095        1.02451        1.03293        1.02388       0.990264       0.990507        1.00333        1.01112        1.00362       0.937917       0.993632         1.0171        1.01535       0.997236         1.0378         1.0281        1.01081        1.03232        1.02978        1.04183        1.01598       0.978069       0.963099       0.949589        1.02003        1.05642        1.00839        1.00466        1.02377        5833.59        5850.79       -17.2012         5805.6        45.1924
           1.05   -1.80676E-06   -1.74857E-06   -1.59892E-06   -1.38599E-06   -1.14779E-06   -1.38598E-06   -1.41928E-06   -1.68972E-06   -1.38268E-06   -2.91904E-06        1.17905        2.76794        1.94938        2.13568        4.01055        2.25952        2.07939        1.82144        2.10311        1.04366              0              0              0              0              0              0              0              0              0              0        2.50046        5.72964         6.5004        6.32031        5.08025        6.50038        5.60029        5.40027        8.30038        10.0064        1.04195        1.04297        1.02721        1.03025        1.04924        1.05069        1.03816        1.03595        1.04085        1.03805        1.04095        1.02451        1.03293        1.02388       0.990264       0.990507        1.00333        1.01112        1.00362       0.937917       0.993632         1.0171        1.01535       0.997236         1.0378         1.0281        1.01081        1.03232        1.02978        1.04183        1.01598       0.978069       0.963099       0.949589        1.02003        1.05642        1.00839        1.00466        1.02377        5833.59        5850.79       -17.2012         5805.6        45.1924
            1.1   -2.06174E-06   -2.00374E-06   -1.85578E-06   -1.63189E-06   -1.37563E-06   -1.64482E-06   -1.67514E-06   -1.93166E-06   -1.64222E-06   -3.18456E-06        1.17905        2.76795        1.94938        2.13569        4.01056        2.25952         2.0794        1.82145        2.10312        1.04366              0              0              0              0              0              0              0              0              0              0        2.50049        5.72967        6.50043        6.32034        5.08028        6.50042        5.60033        5.40029        8.30042        10.0061        1.04195        1.04297        1.02721        1.03025        1.04924        1.05069        1.03816        1.03595        1.04085        1.03805        1.04095        1.02451        1.03293        1.02388       0.990264       0.990507        1.00333        1.01112        1.00362       0.937917       0.993632         1.0171        1.01535       0.997236         1.0378         1.0281        1.01081        1.03232        1.02978        1.04183        1.01598       0.978069       0.963099       0.949589        1.02003        1.05642        1.00839        1.00466        1.02377        5833.59        5850.79       -17.2012         5805.6        45.1924
